,,
108,Byron,John Nichol
109,A Little Boy Lost,Hudson· W. H.
110,The Czar's Spy,William Le Queux
111,The Great Events by Famous Historians· Vol. 8,Editor-in-Chief: Rossiter Johnson
112,Punchinello· Vol. 2.· No. 32·  November 5· 1870,Various
113,Punchinello· Vol. II.· No. 33· November 12· 1870,Various
114,Punchinello· Vol. II.· No. 34· November 19· 1870,Various
115,With British Guns in Italy,Hugh Dalton
116,A Treatise Of Daunses,Anonymous
117,The Unspeakable Gentleman ,John P. Marquand
118,The Postmaster's Daughter,Louis Tracy
119,Boys and girls from Thackeray ,Kate Dickinson Sweetser
120,American Political Ideas Viewed From The Standpoint Of Universal History,John Fiske
121,The Great Events by Famous Historians· Vol. 2,Various
122,All Saints' Day and Other Sermons,Charles Kingsley
123,The Folk-lore of Plants,T. F. Thiselton-Dyer
124,Adonais,Shelley
125,England of My Heart--Spring,Edward Hutton
126,Oriental Literature,Anonymous
127,Fairies and Fusiliers,Robert Graves
128,Aunt Jane's Nieces,Edith Van Dyne
129,Aunt Jane's Nieces and Uncle John,Edith Van Dyne
130,The Best Letters of Charles Lamb,Charles Lamb
131,Home-Life of the Lancashire Factory Folk during the Cotton Famine,Edwin Waugh
132,Abducted to Oz,Bob Evans and Chris Dulabone
133,The Great Events by Famous Historians· Vol. 17,Charles Francis Horne
134,Excellent Women,Various
135,The First Men In The Moon,H. G. Wells
136,Books for Children,Charles and Mary Lamb
137,Required Poems for Reading and Memorizing,Anonymous
138,The Sowers,Henry Seton Merriman
139,The Vigil of Venus and Other Poems by  Q ,Q
140,John Wesley· Jr.,Dan B. Brummitt
141,The Great English Short-Story Writers· Vol. 1,Various
142,The Book of Household Management,Mrs. Isabella Beeton
143,The Atlantic Monthly· Volume 1· Issue 2· December· 1857,Various
144,The Faith of the Millions (2nd series),George Tyrrell
145,The Lure of the Dim Trails,by (AKA B. M. Sinclair) B. M. Bower
146,A Discourse on the Life· Character and Writings of Gulian Crommelin,William Cullen Bryant
147,Maezli,Johanna Spyri
148,Punch· Volume 153· July 11· 1917,Various
149,Punchinello· Vol. II.· No. 35· November 26· 1870,Various
150,Turkey: A Past and a Future,Arnold Joseph Toynbee
151,Reminiscences of Pioneer Days in St. Paul,Frank Moore
152,America's War for Humanity,Thomas Herbert Russell
153,The Merry Adventures of Robin Hood,Howard Pyle
154,Home as Found,James Fenimore Cooper
155,The Oregon Trail,Francis Parkman· Jr.
156,Dracula's Guest,Bram Stoker
157,The Great Events by Famous Historians· Volume 5,Various
158,England and the War,Walter Raleigh
159,On the Improvement of the Understanding,Baruch Spinoza  [Benedict de Spinoza]
160,English Poets of the Eighteenth Century,Selected and Edited with an Introduction by Ernest Bernbaum
161,Dio's Rome· Vol. III,Cassius Dio
162,Mohammedanism,C. Snouck Hurgronje
163,The Black Creek Stopping-House,Nellie McClung
164,Across the Zodiac,Percy Greg
165,What Germany Thinks,Thomas F. A. Smith
166,Poems,(AKA Charlotte· Emily and Anne Bronte) Currer· Ellis· and Acton Bell
167,The Tragedy of Pudd'nhead Wilson,Mark Twain (Samuel Clemens)
168,Sword Blades and Poppy Seed,Amy Lowell
169,The Desert of Wheat,Zane Grey
170,Maria Mitchell: Life· Letters· and Journals,Maria Mitchell
171,The Congo and Other Poems,Vachel Lindsay
172,Wolves of the Sea,Randall Parrish
173,At Whispering Pine Lodge,Lawrence J. Leslie
174,Peck's Bad Boy at the Circus,George W. Peck
175,The Everlasting Whisper,Jackson Gregory
176,Introduction to the Philosophy and Writings of Plato,Thomas Taylor
177,Poems,Marietta Holley
178,The Land Of Little Rain,Mary Hunter Austin
179,The Poetical Works of William Wordsworth,(Edited by William Knight)
180,Daddy Takes Us Skating,Howard R. Garis
181,Purple Springs,Nellie L. McClung
182,The Pilgrims of New England,Mrs. J. B. Webb
183,Our Little Alaskan Cousin,Mary F. Nixon-Roulet
184,Their Crimes,Various
185,Beautiful Joe,by Marshall Saunders
186,Bleak House,Charles Dickens
187,Old Creole Days,George Washington Cable
188,The Wrecker,Robert Louis Stevenson and Lloyd Osbourne
189,,
190,Town Geology,Charles Kingsley
191,The Glands Regulating Personality,Louis Berman· M.D.
192,The Outdoor Chums,Captain Quincy Allen
193,Patty at Home,Carolyn Wells
194,The Lone Star Ranger,Zane Grey
195,Sermons on Evil-Speaking,Isaac Barrow
196,The Professor,(AKA Charlotte Bronte) Currer Bell
197,The Night-Born,Jack London
198,In The Fourth Year,H.G. Wells
199,Punchinello· Vol. 2· No. 36· December 3· 1870,Various
200,Verse and Prose for Beginners in Reading,Horace Elisha Scudder· editor
201,Around the World in 80 Days,Jules Verne
202,Audio: After Dinner Toast at Little Menlo,Arthur Sullivan
203,Sonnets,Michael Angelo Buonarroti & Tommaso Campanella
204,Persian Literature· Volume 1·Comprising The Shah Nameh· The,Anonymous
205,Roy Blakeley's Adventures in Camp,Percy Keese Fitzhugh
206,Betty Gordon at Boarding School,Alice Emerson
207,Damon and Delia,William Godwin
208,Dave Darrin's Third Year at Annapolis,H. Irving Hancock
209,The Pupil,Henry James
210,Dotty Dimple at Play,Sophie May
211,Dragon's blood,Henry Milner Rideout
212,Miss Prudence,Jennie Maria (Drinkwater) Conklin
213,The Rover Boys at College,Edward Stratemeyer
214,Bull Hunter,Max Brand
215,The Gospel of the Pentateuch,Charles Kingsley
216,David,Charles Kingsley
217,Alias The Lone Wolf,Louis Joseph Vance
218,Poems,Walter R. Cassels
219,Snubby Nose and Tippy Toes,Laura Rountree Smith
220,Rose O' the River,Kate Douglas Wiggin
221,Fruitfulness,Emile Zola
222,The Mirror of Literature· Amusement· and Instruction,Various
223,The Mirror of Literature· Amusement· and Instruction,Various
224,The European Anarchy,G. Lowes Dickinson
225,Children's Rights and Others,Kate Douglas Smith Wiggin
226,A Select Collection of Old English Plays· Vol. VII (4th edition),Various
227,Lady Into Fox,David Garnett
228,With the Turks in Palestine,Alexander Aaronsohn
229,Poems,Wilfred Owen
230,Dab Kinzer,William O. Stoddard
231,The Great Events by Famous Historians· Vol. 21,Charles F. Horne· Editor
232,The Velvet Glove,Henry Seton Merriman
233,The Works of Charles and Mary Lamb· Volume 2,Charles Lamb
234,Domestic Manners of the Americans,Fanny Trollope
235,Audio: Go to Sea Once More,Roger McGuinn
236,The Man Against the Sky,Edwin Arlington Robinson
237,The Works of Samuel Johnson· Vol. 6,Samuel Johnson
238,The Works of Samuel Johnson· Vol. 10.,Samuel Johnson
239,The Works of Samuel Johnson· Vol. 11.,Samuel Johnson
240,Travels in Morocco· Vol. 1.,James Richardson
241,Travels in Morocco· Vol. 2.,James Richardson
242,Life Of Johnson· Volume 4 (of 6),Boswell
243,The Boss of Little Arcady,Harry Leon Wilson
244,Aunt Jane's Nieces at Millville,Edith Van Dyne
245,Joe Wilson and His Mates,Henry Lawson
246,Kitty's Class Day And Other Stories,Louisa M. Alcott
247,The Creative Process in the Individual,Thomas Troward
248,Sketches of the East Africa Campaign,Robert Valentine Dolbey
249,The Bravo,J. Fenimore Cooper
250,Yeast: A Problem,Charles Kingsley
251,Freedom's Battle,Mahatma Gandhi
252,Poems,Sir John Carr
253,The Vizier of the Two-Horned Alexander,Frank R. Stockton
254,Memoir and Diary of John Yeardley· Minister of the Gospel,John Yeardley
255,The Life of John Bunyan,Edmund Venables
256,Sustained honor,John R. Musick·
257,The Cinema Murder,E. Phillips Oppenheim
258,Bunch Grass,Horace Annesley Vachell
259,The Middle Temple Murder,J.S. Fletcher
260,The Ramblin' Kid,Earl Wayland Bowman
261,England's Antiphon,George MacDonald
262,American Indian stories,Zitkala-Sa
263,The Evil Guest,J. Sheridan Le Fanu
264,Autobiography,John Stuart Mill
265,At Love's Cost,Charles Garvice
266,Bible Stories and Religious Classics,Philip P. Wells
267,The History of a Crime,Victor Hugo
268,Memoir of William Watts McNair,J. E. Howard
269,The Maternal Management of Children· in Health and Disease.,Thomas Bull· M.D.
270,Thoughts On The Necessity Of Improving The Condition Of The Slaves,Thomas Clarkson
271,The Real America in Romance· Volume 6; A Century Too Soon (A Story,John R. Musick
272,Old English Plays· Vol. I,Various
273,Northern Trails· Book I.,William J. Long
274,Missionary Travels and Researches in South Africa,David Livingstone
275,The Edinburgh Lectures on Mental Science,Thomas Troward
276,The Wolf's Long Howl,Stanley Waterloo
277,The Reminiscences Of Sir Henry Hawkins (Baron Brampton),Henry Hawkins Brampton
278,Making the House a Home,Edgar A. Guest
279,Stolen Treasure,Howard Pyle
280,Joy & Power,Henry van Dyke
281,Andy the Acrobat,Peter T. Harkness
282,Affairs of State,Burton E. Stevenson
283,The American Child,Elizabeth McCracken
284,Franklin Delano Roosevelt's First Inaugural Address,Franklin Delano Roosevelt
285,The Three Taverns,Edwin Arlington Robinson
286,Personal Memoir Of Daniel Drayton,Daniel Drayton
287,A Man and His Money,Frederic Stewart Isham
288,Twixt France and Spain,E. Ernest Bilbrough
289,Man Size,William MacLeod Raine
290,The Crisis of the Naval War,John Rushworth Jellicoe
291,Shakespeare's Sonnets,William Shakespeare
292,The Powers and Maxine,Charles Norris Williamson
293,Love· Life & Work,Elbert Hubbard
294,The Money Moon,Jeffery Farnol
295,The Forest Monster of Oz,Bob Evans
296,The Principles of Success in Literature,George Henry Lewes
297,The Life of Lord Byron,John Galt
298,Caesar Dies,Talbot Mundy
299,Scientific Essays and Lectures,Charles Kingsley
300,Miss Lulu Bett,Zona Gale
301,The Story of Evolution,Joseph McCabe
302,Trips to the Moon,Lucian
303,Thirty Years a Slave,Louis Hughes
304,Aunt Jane's Nieces Out West ,Edith Van Dyne
305,A Flock of Girls and Boys,Nora Perry
306,Wyandotte,James Fenimore Cooper
307,The Atlantic Monthly· Volume 2· Issue 12· October· 1858,Various
308,Erick and Sally,Johanna Spyri
309,Pulpit and Press (6th Edition),Mary Baker Eddy
310,Up the Hill and Over,Isabel Ecclestone Mackay
311,From Yauco to Las Marias,Karl Stephen Herrman
312,Tutt and Mr. Tutt,Arthur Train
313,The Green Mouse,Robert W. Chambers
314,The Rayner-Slade Amalgamation,J. S. Fletcher
315,The Peace Negotiations,Robert Lansing
316,American Big Game in Its Haunts,Various
317,The Green Flag,Arthur Conan Doyle
318,October Vagabonds ,Richard Le Gallienne
319,The Anti-Slavery Harp,Various
320,Burnham Breaker,Homer Greene
321,Venus and Adonis,William Shakespeare
322,Punch· or the London Charivari· Vol. 153· Aug. 22· 1917,Various
323,Life Of Johnson· Volume 5,Boswell
324,Peter's Mother,Mrs. Henry De La Pasture
325,A Practical Physiology,Albert F. Blaisdell
326,Tales for Young and Old,Various
327,A Golden Book of Venice,Mrs. Lawrence Turnbull
328,Atlantic Monthly· Volume 2· Issue 11· September· 1858,Various
329,The Lonely Dancer and Other Poems,Richard Le Gallienne
330,Three short works,Gustave Flaubert
331,The Celtic Twilight,W. B. Yeats
332,God The Invisible King,Herbert George Wells
333,When Day is Done,Edgar A. Guest
334,Journals of Australian Explorations,A C and F T Gregory
335,The Little House in the Fairy Wood,Ethel Cook Eliot
336,A Child's Anti-Slavery Book,Various
337,The Outdoor Girls of Deepdale ,Laura Lee Hope
338,Little Saint Elizabeth and Other Stories ,Frances Hodgson Burnett
339,A Select Collection of Old English Plays· Vol. VIII (4th edition),Various
340,Aunt Jane's Nieces in Society,Edith Van Dyne
341,Johnny Crow's Garden,L. Leslie Brooke
342,The New Machiavelli,Herbert George Wells
343,Audio: Nine Hundred Miles,Roger McGuinn
344,The World's Greatest Books· Vol. I,Various
345,Arthurian Chronicles: Roman de Brut,Wace
346,The Heart of the Range,William Patterson White
347,The Lost Naval Papers,Bennet Copplestone
348,The Mirror of Literature· Amusement· and Instruction· Vol. 12·,Various
349,The Vanishing Man,R. Austin Freeman
350,Beacon Lights of History· Volume I,John Lord
351,Beacon Lights of History· Volume II,John Lord
352,Our Churches and Chapels,Atticus
353,The Ruling Passion,Henry van Dyke
354,The Young Mother,William A. Alcott
355,Short Stories Old and New,Selected and Edited by C. Alphonso Smith
356,Beacon Lights of History· Volume III,John Lord
357,Experiments in Government and the Essentials of the Constitution,Elihu Root
358,Audio: Twelve Gates to the City,Roger McGuinn
359,Audio: Alabama Bound,Roger McGuinn
360,Audio: Away in a Manger,Roger McGuinn
361,An English Garner,Edited by Professor Arber and Thomas Seccombe
362,Vanished Arizona,Martha Summerhayes
363,The Golden Legend,Henry Wadsworth Longfellow
364,Practice Book,Leland Powers
365,Henry the Second,Mrs. J. R. Green
366,Under King Constantine,Katrina Trask
367,Red Masquerade,Louis Joseph Vance
368,Audio: Battle Hymn of the Republic,Roger McGuinn
369,Audio: Ain' No Mo' Cane on De Brazis,Roger McGuinn
370,Audio: Delia's Gone,Roger McGuinn
371,Persuasion,Jane Austen
372,Dark Lady of the Sonnets,George Bernard Shaw
373,Audio: Heave Away,Roger McGuinn
374,Audio: The Whale Catchers,Roger McGuinn
375,Audio: John Henry,Roger McGuinn
376,Audio: Liverpool Gals,Roger McGuinn
377,Audio: Waltzing Matilda,Roger McGuinn
378,The Sorrows of a Show Girl,Kenneth McGaffey
379,The Bars of Iron,Ethel May Dell
380,Sartor Resartus,Thomas Carlyle
381,Inaugural Presidential Address,William Jefferson Clinton
382,A Rogue by Compulsion,Victor Bridges
383,On the Seashore,R. Cadwallader Smith
384,Rhymes of a Roughneck,Pat O'Cotter
385,Bits About Home Matters,Helen Hunt Jackson
386,Government and Rebellion,E. E. Adams
387,Poems,John Hay
388,Mercy Philbrick's Choice,Helen Hunt Jackson
389,Step by Step,The American Tract Society
390,The Compleat Cook,Anonymous· given as  W. M. 
391,The Primadonna,F. Marion Crawford
392,Beacon Lights of History· Volume IV,John Lord
393,Alcestis,Euripides
394,Audio: We Wish You a Merry Christmas,Roger McGuinn
395,Audio: Michael Row the Boat Ashore,Roger McGuinn
396,Audio: Nancy Whiskey,Roger McGuinn
397,Audio: On the Banks of the Ohio,Roger McGuinn
398,Audio: I Heard the Bells on Christmas Day,Roger McGuinn
399,Audio: I am a Pilgrim,Roger McGuinn
400,Within the Tides,Joseph Conrad
401,Audio: Ride Railroad Bill,Roger McGuinn
402,Beacon Lights of History· Volume V,John Lord
403,Beacon Lights of History· Volume VI,John Lord
404,Beacon Lights of History· Volume VII,John Lord
405,The Double Traitor ,E. Phillips Oppenheim
406,Jingle Bells,John Pierpont
407,The Governors,E. Phillips Oppenheim
408,In the Riding-School; Chats With Esmeralda,Theo. Stephenson Browne
409,Mother Carey's Chickens,Kate Douglas Wiggin
410,Children's Classics In Dramatic Form,Augusta Stevenson
411,The Boats of the  Glen Carrig ,William Hope Hodgson
412,Norwegian Life,Ethlyn T. Clough
413,Punchinello· Volume 2· No. 37· December 10· 1870,Various
414,The Sea Lions,James Fenimore Cooper
415,So Runs the World,Henryk Sienkiewicz·
416,The Westcotes,Arthur Thomas Quiller-Couch
417,A Romance of the Republic,Lydia Maria Francis Child
418,A Select Collection of Old English Plays· Vol. IX,Various
419,Affair in Araby,Talbot Mundy
420,Roy Blakeley,Percy Keese Fitzhugh
421,Right Ho· Jeeves,P. G. Wodehouse
422,The Life of Marie Antoinette· Queen of France,Charles Duke Yonge
423,The Old Man in the Corner,Baroness Orczy
424,Johnny Crow's Party,L. Leslie Brooke
425,Martin Eden,Jack London
426,The Last of the Foresters,John Esten Cooke
427,Fine Feathers,W.W. Jacobs
428,Friends In Need,W.W. Jacobs
429,Good Intentions,W.W. Jacobs
430,Fairy Gold,W.W. Jacobs
431,Watch-Dogs,W.W. Jacobs
432,The Bequest,W.W. Jacobs
433,The Guardian Angel,W.W. Jacobs
434,Dual Control,W.W. Jacobs
435,Skilled Assistance,W.W. Jacobs
436,For Better or Worse,W.W. Jacobs
437,The Old Man of the Sea,W.W. Jacobs
438,Manners Makyth Man,W.W. Jacobs
439,Ship's Company· The Entire Collection,W.W. Jacobs
440,The History of England· Volume I,David Hume
441,The Profiteers ,E. Phillips Oppenheim
442,The Aeroplane Boys Flight,John Luther Langworthy
443,International Short Stories: French,Various
444,A Hidden Life and Other Poems,George MacDonald
445,Joe Strong The Boy Fire-Eater,Vance Barnum
446,The Positive School of Criminology,Enrico Ferri
447,Uncle Bernac,Arthur Conan Doyle
448,For Luncheon and Supper Guests,Alice Bradley
449,Holland,Thomas Colley Grattan
450,Air Service Boys Over the Atlantic ,Charles Amory Beach
451,My Strangest Case,Guy Boothby
452,Mike and Psmith,P. G. Wodehouse
453,The Poetical Works of Addison; Gay's Fables; and Somerville's Chase,
454,Seeing Europe with Famous Authors· Volume I.,Various
455,Turkish Prisoners in Egypt,Various
456,The World Set Free,Herbert George Wells
457,Lady Mary Wortley Montague,Lewis Melville
458,A Lie Never Justifiable,H. Clay Trumbull
459,Adventures In Friendship,David Grayson
460,Great Possessions,David Grayson
461,Punch· or the London Charivari· Vol. 153· Sept. 12· 1917,Various
462,Punch· or the London Charivari· Vol. 153· Sept. 19· 1917,Various
463,Cap and Gown,Selected by Frederic Knowles
464,Four Early Pamphlets,William Godwin
465,The Lives of the Poets of Great Britain and Ireland (1753),Theophilus Cibber
466,Lost In The Air,Roy J. Snell
467,Jungle Tales of Tarzan,Edgar Rice Burroughs
468,A General History and Collection of Voyages and Travels· Vol. 1,Robert Kerr
469,The Rangeland Avenger,Max Brand
470,The Poetical Works of Edmund Spenser· Volume 5,Edmund Spenser
471,With Kelly to Chitral,William George Laurence Beynon
472,Adventures In Contentment,David Grayson
473,The Tragedie of Hamlet· Prince of Denmark,George MacDonald
474,The Real Mother Goose,(Illustrated by Blanche Fisher Wright)
475,The Turquoise Cup· and· The Desert,Arthur Cosslett Smith
476,English Literature,William J. Long
477,Myths and Myth-Makers,John Fiske
478,Letters and Journals of James· Eighth Earl of Elgin,James· Eighth Earl of Elgin
479,An Essay on the Slavery and Commerce of the Human Species· Particularly the African,Thomas Clarkson
480,Supply and Demand,Hubert D. Henderson
481,The Theory of Social Revolutions,Brooks Adams
482,Punch· or the London Charivari· Vol. 153· Sept. 5· 1917,Various
483,An Essay Concerning Humane Understanding· Volume II.,John Locke
484,Within the Deep,R. Cadwallader Smith
485,Jesus Says So,Unknown
486,An Englishman's Travels in America,John Benwell
487,First Gutenberg Collection of Edgar Allan Poe,Edgar Allan Poe
488,The Works of Francis Beaumont and John Fletcher in Ten Volumes,Beaumont and Fletcher
489,Birthright,T.S. Stribling
490,The Lives of the Poets of Great Britain and Ireland (1753),Theophilus Cibber
491,Plays,Susan Glaspell
492,Three John Silence Stories,Algernon Blackwood
493,Atlantic Monthly· Volume 2· Issue 10· August· 1858,Various
494,Beacon Lights of History· Volume VIII,John Lord
495,Andrew Golding,Annie E. Keeling
496,Britain at Bay,Spenser Wilkinson
497,The Cask of Amontillado,Edgar Allan Poe
498,Coming to the King,Frances Ridley Havergal
499,Halleck's New English Literature,Reuben P. Halleck
500,The Healthy Life Cook Book· 2d ed.,Florence Daniel
501,The History of the Rise· Progress and Accomplishment of the,Thomas Clarkson
502,Stories from the Italian Poets: With Lives of the Writers· Vol. 2,Leigh Hunt
503,The Travels of Marco Polo Volume 1,Marco Polo and Rustichello of Pisa
504,The Uprising of a Great People,Count Agenor de Gasparin
505,The Youthful Wanderer,George H. Heffner
506,Phrases for Public Speakers and Paragraphs for Study,Compiled by Grenville Kleiser
507,The Masque of the Red Death,Edgar Allan Poe
508,Beacon Lights of History· Volume IX,John Lord
509,Beacon Lights of History· Volume X,John Lord
510,Towards the Great Peace,Ralph Adams Cram
511,The Worlds Greatest Books,Arthur Mee· J. A. Hammerton· Eds.
512,Beacon Lights of History· Volume XI,John Lord
513,Audio: Go Tell Aunt Rhodie,Roger McGuinn
514,Audio: Roddy McCorley,Roger McGuinn
515,Beacon Lights of History· Volume XII,John Lord
516,Beacon Lights of History· Volume XIII,John Lord
517,Beacon Lights of History· Volume XIV,John Lord
518,The Raven,Edgar Allan Poe
519,Audio: When the Saints Go Marching In,Roger McGuinn
520,Audio: Shenandoah,Roger McGuinn
521,Audio: Spanish is the Loving Tongue,Roger McGuinn
522,Audio: The Squid-Jigging Ground,Roger McGuinn
523,Audio: The St. James Infirmary Blues,Roger McGuinn
524,Autobiography of Sir George Biddell Airy,George Biddell Airy
525,A Collection of Old English Plays· Vol. II,Various
526,De Bello Gallico and Other Commentaries,Caius Julius Caesar
527,Hilda Lessways,Arnold Bennett
528,Three More John Silence Stories,Algernon Blackwood
529,Lives of the English Poets,Henry Francis Cary
530,A Selection from the Discourses of Epictetus With the Encheiridion,Epictetus
531,The Night Land,William Hope Hodgson
532,Punch· or the London Charivari· Vol. 153· Sept. 26· 1917,Various
533,Life· Letters· and Epicurean Philosophy of Ninon de L'Enclos·,Robinson [and] Overton· ed. and translation.
534,The Public vs. M. Gustave Flaubert,Various
535,Snake and Sword,Percival Christopher Wren
536,The War and Democracy,
537,At Last,Charles Kingsley
538,Personal Memoirs of U. S. Grant· Volume One,Ulysses S. Grant
539,With Zola in England,Ernest Alfred Vizetelly
540,The Botanic Garden. Part II.,Erasmus Darwin
541,Game and Playe of the Chesse,Caxton
542,The Principal Navigations· Voyages· Traffiques·,Richard Hakluyt
543,How to Use Your Mind,Harry D. Kitson
544,Pebbles on the Shore,Alpha of the Plough (Alfred George Gardiner)
545,The Reign of Greed,Jose Rizal
546,Biographical Memorials of James Oglethorpe,Thaddeus Mason Harris
547,The Story of the Other Wise Man,Henry van Dyke
548,Personal Memoirs of U. S. Grant· Volume Two,Ulysses S. Grant
549,A History of Freedom of Thought,John Bagnell Bury
550,The Campfire Girls at Camp Keewaydin,Hildegard G. Frey
551,Nana· The Miller's Daughter· Captain Burle· Death of Olivier Becaille,Emile Zola
552,A Desperate Chance,Old Sleuth (Harlan P. Halsey)
553,Select Speeches of Kossuth,Kossuth
554,A Life of Gen. Robert E. Lee,John Esten Cooke
555,A Political Diary 1828-1830· Volume II,Edward Law (Lord Ellenborough)
556,Sea-Power and Other Studies,Admiral Sir Cyprian Bridge
557,Atlantic Monthly· Volume 3· Issue 15· January· 1859,Various
558,The Danger Trail,James Oliver Curwood
559,The Aeroplane Boys on the Wing,John Luther Langworthy
560,Character Writings of the 17th Century,Various
561,Far from the Madding Crowd,Thomas Hardy
562,The History of England from the First Invasion by the Romans,John Lingard and Hilaire Belloc
563,The History of Rome· Book I,Theodor Mommsen
564,The History of Rome· Book II,Theodor Mommsen
565,The History of Rome· Book III,Theodor Mommsen
566,The History of Rome· Book IV,Theodor Mommsen
567,The History of Rome· Book V,Theodor Mommsen
568,The History of Rome (Volumes 1-5),Theodor Mommsen
569,A Christmas Mystery,William J. Locke
